sim month Balance SchedPrincipal UnschedPrincipal Liquidated
1 106 14550853826.80 41374640.73 57564495.36 4498730.41
1 107 14467299838.01 41337215.60 42216773.18 4178801.92
1 108 14372627558.86 41342735.53 53329543.62 3808770.61
1 109 14256875879.00 41315542.99 74436136.88 3464129.55
1 110 14149857321.09 41226013.34 65792544.57 3226111.63
1 111 14024681659.37 41159860.14 84015801.57 3066853.85
1 112 13894309125.41 41039017.20 89333516.76 2914020.02
1 113 13774402460.86 40900422.44 79006242.10 2851406.23
1 114 13646918653.21 40790496.93 86693310.73 2764400.33
1 115 13542203256.53 40655910.14 64059486.54 2684539.11
1 116 13438596720.94 40588197.16 63018338.43 2275966.44
1 117 13341806248.79 40522051.32 56268420.83 1939312.49
1 118 0.00 40474547.58 13301331701.22 1765376.17
2 0 29040913330.15 0.00 0.00 0.00
2 1 28872982258.95 47655167.23 120275903.98 369246.90
2 2 28692828334.82 47600831.37 132553092.75 384049.09
2 3 28494372080.19 47525053.41 150931201.23 409350.75
2 4 28282275582.61 47417433.88 164679063.69 436351.28
2 5 28066050985.26 47285323.90 168939273.45 465335.02
2 6 27862099904.25 47144359.50 156806721.51 498431.34
2 7 27678235887.35 47022106.82 136841910.08 534151.83
2 8 27495576048.31 46932092.89 135727746.15 569514.20
2 9 27341391385.69 46842565.28 107342097.35 631695.55
2 10 27185601601.09 46800260.09 108989524.50 695923.69
2 11 27063046306.56 46754114.23 75801180.30 766139.54
2 12 26926924439.59 46764267.35 89357599.62 850043.18
2 13 26766428958.64 46750280.46 113745200.49 940825.72
2 14 26607772966.46 46692957.39 111963034.79 1038129.60
2 15 26442481947.55 46637651.06 118653367.85 1128692.54
2 16 26261357928.54 46569450.16 134554568.86 1223335.50
2 17 26087521306.03 46471890.60 127364731.91 1325246.54
2 18 25921172146.83 46385659.48 119963499.72 1438488.59
2 19 25771307880.99 46311290.00 103552975.84 1559675.40
2 20 25627259424.20 46265136.81 97783319.98 1675419.54
2 21 25499718471.86 46228363.90 81312588.44 1787252.28
2 22 25375101591.20 46220497.57 78396383.09 1892352.21
2 23 25276166180.29 46217195.76 52718215.15 2003609.84
2 24 25158366099.05 46260081.30 71539999.93 2175566.57
2 25 25012497976.78 46267719.10 99600403.17 2505973.71
2 26 24870989135.25 46222599.82 95286241.71 2986577.02
2 27 24709457828.13 46184415.90 115346891.21 3488993.15
2 28 24532427012.28 46107665.70 130923150.15 4068811.07
2 29 24366968568.78 46000162.25 119458281.25 4782822.15
2 30 24186305073.27 45912724.14 134750771.37 5501016.76
2 31 24031304506.38 45795285.16 109205281.73 6041197.23
2 32 23881981921.55 45725489.21 103597095.62 6245883.93
2 33 23734655867.50 45665325.61 101660728.45 6376237.82
2 34 23597124864.12 45607699.42 91923303.96 6519087.89
2 35 23484597459.89 45568562.19 66958842.04 6236795.68
2 36 23356905926.94 45576827.18 82114705.77 5987671.76
2 37 23197233189.18 45554947.90 114117789.86 5718368.94
2 38 23050863467.52 45469880.20 100899841.47 5237009.56
2 39 22877851215.47 45409612.48 127602639.57 4693270.06
2 40 22696883959.47 45295207.32 135672048.68 4195239.19
2 41 22531979727.11 45163428.61 119740803.74 3550891.90
2 42 22353703685.41 45061816.99 133214224.71 2882561.24
2 43 22207210397.07 44931368.87 101561919.47 2337712.92
2 44 22061440723.25 44862744.94 100906928.89 1984900.90
2 45 21927416233.33 44793535.81 89230954.10 1965339.63
2 46 21807831083.31 44746905.47 74838244.55 1948709.14
2 47 21704903965.60 44728729.49 58198388.23 1934865.93
2 48 21589858113.80 44743939.30 70301912.50 1963123.13
2 49 21450254994.67 44733505.12 94869614.01 1991515.80
2 50 21313830659.56 44671123.88 91753211.22 2022589.64
2 51 21156549541.69 44614213.59 112666904.29 1984534.46
2 52 20996356761.37 44512134.76 115680645.56 1950787.29
2 53 20838305084.71 44402148.40 113649528.26 1921516.33
2 54 20674315490.02 44294736.80 119694857.90 1964324.74
2 55 20546038970.89 44172836.60 84103682.53 2007649.73
2 56 20410407033.65 44125728.97 91506208.27 2033696.62
2 57 20286963194.32 44061676.69 79382162.64 2006923.21
2 58 20174455279.10 44022750.45 68485164.77 1965629.85
2 59 20074867516.02 44006584.15 55581178.93 1924463.65
2 60 19962168939.00 44017961.90 68680615.12 1850248.98
2 61 19828761704.49 43999859.54 89407374.97 1778137.95
2 62 19689762130.68 43934975.46 95064598.34 1709725.33
2 63 19535827301.42 43856151.61 110078677.65 1688199.93
2 64 19385315191.65 43742354.80 106769754.97 1667505.24
2 65 19228005091.86 43634364.07 113675735.71 1647067.45
2 66 19072609916.57 43509222.95 111885952.34 1594506.87
2 67 18942081182.40 43386404.84 87142329.33 1546273.48
2 68 18808407009.08 43318451.96 90355721.36 1500029.60
2 69 18691010291.06 43241881.39 74154836.63 1438824.84
2 70 18579512341.47 43201414.58 68296535.01 1380954.00
2 71 18485694420.37 43173516.17 50644404.93 1327147.10
2 72 18382766350.01 43185760.89 59742309.47 1344392.21
2 73 18255299964.89 43176042.83 84290342.30 1359967.83
2 74 18126655006.69 43107570.41 85537387.79 1375460.90
2 75 17991862697.65 43034907.64 91757401.39 1369770.79
2 76 17841452977.66 42946083.06 107463636.93 1362857.46
2 77 17694598835.91 42818107.01 104036034.74 1356022.69
2 78 17555881916.44 42696701.35 96020218.12 1313331.09
2 79 17432537123.19 42593004.42 80751788.82 1273552.04
2 80 17313470751.63 42524966.60 76541404.96 1235933.84
2 81 17205231222.94 42465874.43 65773654.26 1239037.27
2 82 17098095382.17 42432133.31 64703707.45 1241749.10
2 83 17012939365.99 42400049.87 42755966.31 1245606.31
2 84 16912454336.50 42421820.75 58063208.74 1207704.97
