sim month LIBOR_1MO
501 300 5.162866
501 301 5.181160
501 302 5.194556
501 303 5.207387
501 304 5.219046
501 305 5.226441
501 306 5.249410
501 307 5.268905
501 308 5.269557
501 309 5.274275
501 310 5.282935
501 311 5.296361
501 312 5.302502
501 313 5.314701
501 314 5.326084
501 315 5.328491
501 316 5.327330
501 317 5.336678
501 318 5.332379
501 319 5.330812
501 320 5.318102
501 321 5.323197
501 322 5.324167
501 323 5.327452
501 324 5.325410
501 325 5.347479
501 326 5.355659
501 327 5.355500
501 328 5.360632
501 329 5.361345
501 330 5.360044
501 331 5.359776
501 332 5.358818
501 333 5.363137
501 334 5.377502
501 335 5.369374
501 336 5.369337
501 337 5.377661
501 338 5.383324
501 339 5.386833
501 340 5.390579
501 341 5.407866
501 342 5.417181
501 343 5.412911
501 344 5.404356
501 345 5.403823
501 346 5.395371
501 347 5.386008
501 348 5.368871
501 349 5.378935
501 350 5.375738
501 351 5.369788
501 352 5.372686
501 353 5.372942
501 354 5.383691
501 355 5.369033
501 356 5.373013
501 357 5.378790
501 358 5.391775
501 359 5.397184
501 360 5.415212
