sim month CECoverage CEPremium
315 13 0.00 1842695.07
315 14 0.00 2265453.61
315 15 0.00 2016533.27
315 16 0.00 2220204.50
315 17 0.00 2409940.47
315 18 0.00 2315500.51
315 19 0.00 2546180.28
315 20 0.00 2608459.47
315 21 0.00 2559174.05
315 22 0.00 2811012.81
315 23 0.00 2442000.45
315 24 0.00 2616436.40
315 25 0.00 2509677.24
315 26 0.00 2682691.52
315 27 0.00 2625853.55
315 28 0.00 2965198.39
315 29 0.00 2514984.64
315 30 0.00 2757552.45
315 31 0.00 2813496.09
315 32 0.00 2542818.21
315 33 0.00 2666361.55
315 34 0.00 2689492.25
315 35 0.00 2335283.68
315 36 0.00 2615761.74
315 37 0.00 2219592.75
315 38 0.00 2257939.46
315 39 0.00 2241451.14
315 40 0.00 2395745.40
315 41 0.00 2136536.10
315 42 0.00 2284697.80
315 43 0.00 2280448.53
315 44 0.00 2191537.72
315 45 0.00 2352868.84
315 46 0.00 2066289.08
315 47 0.00 2160295.27
315 48 8875093.18 2347295.41
315 49 9801926.33 2043387.76
315 50 8983554.70 2126309.28
315 51 7844902.41 2103461.64
315 52 7085412.36 2133402.33
315 53 6396693.30 2055154.14
315 54 5903281.92 2193906.22
315 55 5486767.01 1957940.28
315 56 5138526.26 1969478.40
315 57 4911939.01 2076046.30
315 58 4625367.47 1922153.20
315 59 4324815.71 1924957.17
315 60 4449332.17 2001927.61
315 61 4482360.62 1815198.25
315 62 4527753.60 1967676.79
315 63 4565836.14 2114043.84
315 64 4637109.02 1822645.29
315 65 4711585.16 1928240.46
315 66 4744879.12 2006422.21
315 67 4843102.91 1842089.65
315 68 4955353.81 1845767.00
315 69 4963135.17 1856210.59
315 70 4790025.14 1873767.27
315 71 4629568.63 1947716.73
315 72 4384021.98 1737854.62
315 73 4054264.88 1717899.65
315 74 3751584.00 1942754.27
315 75 3537244.35 1706751.98
315 76 3347801.22 1824879.07
315 77 3159281.01 1907606.02
315 78 2713695.78 1721808.91
315 79 2306457.03 1888326.08
315 80 1965918.52 1865905.38
315 81 1658273.29 1803366.37
315 82 1432406.49 1995068.09
315 83 1256324.84 1692929.85
315 84 1110995.70 1849467.75
315 85 1091004.92 1657412.13
315 86 1084902.02 1844866.35
315 87 1080202.25 1653120.66
315 88 1077368.67 1807292.85
315 89 1085369.12 1765809.44
315 90 1087104.06 1735861.36
315 91 1080782.79 1926267.94
315 92 1076552.23 1634603.89
315 93 1072661.89 1890973.31
315 94 1064962.10 1815860.42
315 95 1073079.31 1685074.92
315 96 1069893.94 1801650.20
315 97 1062666.37 1603521.40
315 98 1055715.60 1774332.31
315 99 1029984.54 1702594.05
315 100 1008152.65 1889049.70
315 101 992595.97 1625337.30
315 102 981708.61 1787869.00
315 103 969313.16 1844096.20
315 104 958987.04 1703948.69
315 105 946938.14 1833079.32
315 106 930953.51 1881479.48
315 107 915611.43 1754544.99
315 108 900865.91 2006557.26
315 109 889514.95 1722395.87
315 110 876718.50 1780561.29
315 111 865304.83 1879683.29
315 112 857144.84 2002103.24
315 113 848821.96 1826806.33
315 114 841246.25 2013141.57
315 115 831912.86 2017995.12
315 116 824287.13 2001022.56
315 117 816683.94 2236515.93
315 118 805498.14 1976849.54
315 119 795050.29 2039771.68
316 0 0.00 0.00
316 1 0.00 1808920.85
316 2 0.00 1996736.06
316 3 0.00 2108534.28
316 4 0.00 1936069.09
316 5 0.00 1997144.96
316 6 0.00 2021380.86
316 7 0.00 1990291.10
316 8 0.00 2069282.91
316 9 0.00 1809927.78
316 10 0.00 2009745.77
316 11 0.00 2058111.65
316 12 0.00 1968163.51
316 13 0.00 1842695.07
316 14 0.00 2265453.61
316 15 0.00 2016533.27
316 16 0.00 2220204.50
316 17 0.00 2409940.47
316 18 0.00 2315500.51
316 19 0.00 2546180.28
316 20 0.00 2608459.47
316 21 0.00 2559174.05
316 22 0.00 2811012.81
316 23 0.00 2442000.45
316 24 0.00 2616436.40
316 25 0.00 2509677.24
316 26 0.00 2682691.52
316 27 0.00 2625853.55
316 28 0.00 2965198.39
316 29 0.00 2514984.64
316 30 0.00 2757552.45
316 31 0.00 2813496.09
316 32 0.00 2542818.21
316 33 0.00 2666361.55
316 34 0.00 2689492.25
316 35 0.00 2335283.68
316 36 0.00 2615761.74
316 37 0.00 2219592.75
316 38 0.00 2257939.46
316 39 0.00 2241451.14
316 40 0.00 2395745.40
316 41 0.00 2136536.10
316 42 0.00 2284697.80
316 43 0.00 2280448.53
316 44 0.00 2191537.72
