sim TrancheName FaceAmount($) Yield(%) WAL(%) DiscMarginBeq(%)
46 M2H 20667705.00 0.00000 9.54979 -2.07086
46 BH 87926156.00 -2.33541 8.93167 -4.47707
47 M1 375000000.00 2.06104 1.32557 1.60910
47 M2 375000000.00 5.74069 3.94670 4.46884
47 M1H 20667705.00 -0.00000 1.32557 -0.45503
47 M2H 20667705.00 0.00000 3.94670 -1.36375
47 BH 87926156.00 -1.09251 9.35233 -3.23422
48 M1 375000000.00 2.85720 3.77940 1.61793
48 M2 375000000.00 6.38921 9.66066 4.48576
48 M1H 20667705.00 -0.00000 3.77940 -1.26812
48 M2H 20667705.00 0.00000 9.66066 -2.08800
48 BH 87926156.00 -1.99699 9.08517 -4.13867
49 M1 375000000.00 2.84663 3.67207 1.61782
49 M2 375000000.00 6.39785 9.71054 4.48602
49 M1H 20667705.00 -0.00000 3.67207 -1.25774
49 M2H 20667705.00 0.00000 9.71054 -2.09877
49 BH 87926156.00 -1.57715 9.21713 -3.71884
50 M1 375000000.00 2.64749 2.73740 1.61544
50 M2 375000000.00 6.10422 7.90270 4.47768
50 M1H 20667705.00 -0.00000 2.73740 -1.04939
50 M2H 20667705.00 0.00000 7.90270 -1.73990
50 BH 87926156.00 -1.18322 9.33538 -3.32493
51 M1 375000000.00 2.53338 2.22851 1.61425
51 M2 375000000.00 6.25671 8.54384 4.48208
51 M1H 20667705.00 -0.00000 2.22851 -0.93258
51 M2H 20667705.00 0.00000 8.54384 -1.93580
51 BH 87926156.00 -1.39435 9.25066 -3.53605
52 M1 375000000.00 2.85772 3.78965 1.61794
52 M2 375000000.00 6.39799 9.71203 4.48602
52 M1H 20667705.00 -0.00000 3.78965 -1.26864
52 M2H 20667705.00 0.00000 9.71203 -2.09892
52 BH 87926156.00 -2.16373 8.98499 -4.30540
53 M1 375000000.00 2.87230 3.84773 1.61814
53 M2 375000000.00 6.40315 9.74432 4.48617
53 M1H 20667705.00 -0.00000 3.84773 -1.28451
53 M2H 20667705.00 0.00000 9.74432 -2.10528
53 BH 87926156.00 -1.76856 9.09984 -3.91025
54 M1 375000000.00 2.81918 3.53299 1.61748
54 M2 375000000.00 6.39489 9.69011 4.48593
54 M1H 20667705.00 -0.00000 3.53299 -1.22919
54 M2H 20667705.00 0.00000 9.69011 -2.09521
54 BH 87926156.00 -2.34772 8.90753 -4.48938
55 M1 375000000.00 2.82914 3.58516 1.61759
55 M2 375000000.00 6.39397 9.68423 4.48591
55 M1H 20667705.00 -0.00000 3.58516 -1.23914
55 M2H 20667705.00 0.00000 9.68423 -2.09407
55 BH 87926156.00 -1.90393 9.11973 -4.04561
56 M1 375000000.00 2.77612 3.31328 1.61695
56 M2 375000000.00 6.38378 9.61412 4.48561
56 M1H 20667705.00 -0.00000 3.31328 -1.18402
56 M2H 20667705.00 0.00000 9.61412 -2.08178
56 BH 87926156.00 -2.05358 9.14584 -4.19526
